(Total Revenue, '176,251,000', '168,088,000', '143,015,000', '125,843,000' '110,360,000')
         447116 function calls (430612 primitive calls) in 3.126 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
     80/1    0.001    0.000    3.126    3.126 {built-in method builtins.exec}
       78    0.000    0.000    0.620    0.008 {method 'readline' of '_io.BufferedReader' objects}
       78    0.000    0.000    0.000    0.000 element.py:1536(__eq__)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       77    0.000    0.000    0.004    0.000 css_parser.py:474(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       76    0.000    0.000    0.000    0.000 typing.py:711(__eq__)
       70    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       70    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
       70    0.002    0.000    0.002    0.000 {built-in method io.open_code}
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
       70    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
     70/4    0.000    0.000    0.148    0.037 <frozen importlib._bootstrap_external>:777(exec_module)
       70    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:849(get_code)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
       70    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:969(get_data)
       70    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       70    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
       70    0.000    0.000    0.000    0.000 os.py:693(__iter__)
       70    0.000    0.000    0.000    0.000 os.py:748(encode)
       70    0.000    0.000    0.000    0.000 _collections_abc.py:744(__iter__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       66    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       63    0.000    0.000    0.000    0.000 typing.py:358(<genexpr>)
       61    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       61    0.000    0.000    0.000    0.000 dammit.py:2409(<listcomp>)
